Test_Type,Config,Time_Sec,N,nsteps,ranks,threads,repeat,dt,eps,energy_every,force,comm_wait,gpairs,status,max_rel_drift
Math,approx2,0.068670,10000,5,1,16,3,0.0001,0.05,100,0.023070,0.000000,26.004862,OK,1.2974058094041892e-07
Math,approx2,0.068753,10000,5,1,16,4,0.0001,0.05,100,0.023065,0.000000,26.010972,OK,1.2974058094041892e-07
Math,approx2,0.070036,10000,5,1,16,5,0.0001,0.05,100,0.023044,0.000000,26.034135,OK,1.2974058094041892e-07
Comm,sendrecv,0.188195,10000,5,1,16,1,0.0001,0.05,100,0.140915,0.000000,4.257452,OK,1.2974058094041892e-07
Comm,sendrecv,0.187407,10000,5,1,16,2,0.0001,0.05,100,0.140699,0.000000,4.263982,OK,1.2974058094041892e-07
Comm,sendrecv,0.188090,10000,5,1,16,3,0.0001,0.05,100,0.141308,0.000000,4.245605,OK,1.2974058094041892e-07
Comm,sendrecv,0.187196,10000,5,1,16,4,0.0001,0.05,100,0.140660,0.000000,4.265187,OK,1.2974058094041892e-07
Comm,sendrecv,0.186984,10000,5,1,16,5,0.0001,0.05,100,0.140650,0.000000,4.265494,OK,1.2974058094041892e-07
Comm,overlap,0.188213,10000,5,1,16,1,0.0001,0.05,100,0.141361,0.000000,4.244026,OK,1.2974058094041892e-07
Comm,overlap,0.187826,10000,5,1,16,2,0.0001,0.05,100,0.140578,0.000000,4.267653,OK,1.2974058094041892e-07
Comm,overlap,0.187531,10000,5,1,16,3,0.0001,0.05,100,0.140874,0.000000,4.258694,OK,1.2974058094041892e-07
Comm,overlap,0.187778,10000,5,1,16,4,0.0001,0.05,100,0.140595,0.000000,4.267142,OK,1.2974058094041892e-07
Comm,overlap,0.187687,10000,5,1,16,5,0.0001,0.05,100,0.141078,0.000000,4.252544,OK,1.2974058094041892e-07
Accumulators,1,0.188982,10000,5,1,16,1,0.0001,0.05,100,0.141779,0.000000,4.231525,OK,1.2974058094041892e-07
Accumulators,1,0.188913,10000,5,1,16,2,0.0001,0.05,100,0.142004,0.000000,4.224818,OK,1.2974058094041892e-07
Accumulators,1,0.188661,10000,5,1,16,3,0.0001,0.05,100,0.141840,0.000000,4.229683,OK,1.2974058094041892e-07
Accumulators,1,0.186975,10000,5,1,16,4,0.0001,0.05,100,0.142393,0.000000,4.213256,OK,1.2974058094041892e-07
Accumulators,1,0.188834,10000,5,1,16,5,0.0001,0.05,100,0.142070,0.000000,4.222851,OK,1.2974058094041892e-07
Accumulators,2,0.187880,10000,5,1,16,1,0.0001,0.05,100,0.140743,0.000000,4.262675,OK,1.2974058094041892e-07
Accumulators,2,0.187780,10000,5,1,16,2,0.0001,0.05,100,0.140569,0.000000,4.267940,OK,1.2974058094041892e-07
Accumulators,2,0.185718,10000,5,1,16,3,0.0001,0.05,100,0.140583,0.000000,4.267530,OK,1.2974058094041892e-07
Accumulators,2,0.187134,10000,5,1,16,4,0.0001,0.05,100,0.140823,0.000000,4.260247,OK,1.2974058094041892e-07
Accumulators,2,0.187634,10000,5,1,16,5,0.0001,0.05,100,0.140591,0.000000,4.267281,OK,1.2974058094041892e-07
Accumulators,4,0.186140,10000,5,1,16,1,0.0001,0.05,100,0.141242,0.000000,4.247614,OK,1.2974058094041892e-07
Accumulators,4,0.188208,10000,5,1,16,2,0.0001,0.05,100,0.140739,0.000000,4.262782,OK,1.2974058094041892e-07
Accumulators,4,0.188008,10000,5,1,16,3,0.0001,0.05,100,0.141250,0.000000,4.247368,OK,1.2974058094041892e-07
Accumulators,4,0.190801,10000,5,1,16,4,0.0001,0.05,100,0.141795,0.000000,4.231024,OK,1.2974058094041892e-07
Accumulators,4,0.187960,10000,5,1,16,5,0.0001,0.05,100,0.140654,0.000000,4.265374,OK,1.2974058094041892e-07
Accumulators,8,0.188870,10000,5,1,16,1,0.0001,0.05,100,0.141527,0.000000,4.239037,OK,1.2974058094041892e-07
Accumulators,8,0.186773,10000,5,1,16,2,0.0001,0.05,100,0.141577,0.000000,4.237549,OK,1.2974058094041892e-07
Accumulators,8,0.188701,10000,5,1,16,3,0.0001,0.05,100,0.141608,0.000000,4.236632,OK,1.2974058094041892e-07
Accumulators,8,0.188954,10000,5,1,16,4,0.0001,0.05,100,0.142279,0.000000,4.216638,OK,1.2974058094041892e-07
Accumulators,8,0.187910,10000,5,1,16,5,0.0001,0.05,100,0.141503,0.000000,4.239779,OK,1.2974058094041892e-07
