repeat,mode,benchmark,metric,bytes,value
3,container,latency,latency_us,524288,93.48
3,container,latency,latency_us,1048576,149.71
3,container,latency,latency_us,2097152,302.18
3,container,latency,latency_us,4194304,578.28
3,container,bandwidth,bandwidth_MBps,1,0.26
3,container,bandwidth,bandwidth_MBps,2,0.53
3,container,bandwidth,bandwidth_MBps,4,1.06
3,container,bandwidth,bandwidth_MBps,8,2.12
3,container,bandwidth,bandwidth_MBps,16,4.24
3,container,bandwidth,bandwidth_MBps,32,8.51
3,container,bandwidth,bandwidth_MBps,64,17.01
3,container,bandwidth,bandwidth_MBps,128,33.78
3,container,bandwidth,bandwidth_MBps,256,59.55
3,container,bandwidth,bandwidth_MBps,512,118.49
3,container,bandwidth,bandwidth_MBps,1024,235.47
3,container,bandwidth,bandwidth_MBps,2048,432.70
3,container,bandwidth,bandwidth_MBps,4096,785.39
3,container,bandwidth,bandwidth_MBps,8192,1396.22
3,container,bandwidth,bandwidth_MBps,16384,2322.20
3,container,bandwidth,bandwidth_MBps,32768,3530.07
3,container,bandwidth,bandwidth_MBps,65536,2796.01
3,container,bandwidth,bandwidth_MBps,131072,3175.25
3,container,bandwidth,bandwidth_MBps,262144,4068.82
3,container,bandwidth,bandwidth_MBps,524288,4937.55
3,container,bandwidth,bandwidth_MBps,1048576,5855.08
3,container,bandwidth,bandwidth_MBps,2097152,6121.69
3,container,bandwidth,bandwidth_MBps,4194304,6317.79
4,native,latency,latency_us,1,4.41
4,native,latency,latency_us,2,4.39
4,native,latency,latency_us,4,4.40
4,native,latency,latency_us,8,4.39
4,native,latency,latency_us,16,4.40
4,native,latency,latency_us,32,4.41
4,native,latency,latency_us,64,4.42
4,native,latency,latency_us,128,4.44
4,native,latency,latency_us,256,4.47
4,native,latency,latency_us,512,4.54
4,native,latency,latency_us,1024,4.62
4,native,latency,latency_us,2048,5.54
4,native,latency,latency_us,4096,6.02
4,native,latency,latency_us,8192,6.82
4,native,latency,latency_us,16384,8.70
4,native,latency,latency_us,32768,13.39
4,native,latency,latency_us,65536,30.47
4,native,latency,latency_us,131072,48.81
4,native,latency,latency_us,262144,64.38
4,native,latency,latency_us,524288,91.69
4,native,latency,latency_us,1048576,148.72
4,native,latency,latency_us,2097152,291.24
4,native,latency,latency_us,4194304,576.13
4,native,bandwidth,bandwidth_MBps,1,0.26
4,native,bandwidth,bandwidth_MBps,2,0.53
4,native,bandwidth,bandwidth_MBps,4,1.06
4,native,bandwidth,bandwidth_MBps,8,2.13
4,native,bandwidth,bandwidth_MBps,16,4.24
4,native,bandwidth,bandwidth_MBps,32,8.47
4,native,bandwidth,bandwidth_MBps,64,16.97
4,native,bandwidth,bandwidth_MBps,128,33.70
