mode,benchmark,metric,bytes,value
container,bandwidth,bandwidth_MBps,65536,2859.23
container,bandwidth,bandwidth_MBps,131072,3387.55
container,bandwidth,bandwidth_MBps,262144,4021.08
container,bandwidth,bandwidth_MBps,524288,3558.78
container,bandwidth,bandwidth_MBps,1048576,3773.09
container,bandwidth,bandwidth_MBps,2097152,3460.34
container,bandwidth,bandwidth_MBps,4194304,3542.68
container,bandwidth,bandwidth_MBps,1,0.45
container,bandwidth,bandwidth_MBps,2,0.92
container,bandwidth,bandwidth_MBps,4,1.88
container,bandwidth,bandwidth_MBps,8,3.67
container,bandwidth,bandwidth_MBps,16,7.39
container,bandwidth,bandwidth_MBps,32,15.32
container,bandwidth,bandwidth_MBps,64,30.39
container,bandwidth,bandwidth_MBps,128,55.76
container,bandwidth,bandwidth_MBps,256,104.90
container,bandwidth,bandwidth_MBps,512,211.01
container,bandwidth,bandwidth_MBps,1024,395.92
container,bandwidth,bandwidth_MBps,2048,741.08
container,bandwidth,bandwidth_MBps,4096,1291.91
container,bandwidth,bandwidth_MBps,8192,2084.55
container,bandwidth,bandwidth_MBps,16384,2503.70
container,bandwidth,bandwidth_MBps,32768,2693.09
container,bandwidth,bandwidth_MBps,65536,2811.29
container,bandwidth,bandwidth_MBps,131072,2419.05
container,bandwidth,bandwidth_MBps,262144,2791.60
container,bandwidth,bandwidth_MBps,524288,3876.64
container,bandwidth,bandwidth_MBps,1048576,3902.23
container,bandwidth,bandwidth_MBps,2097152,3731.30
container,bandwidth,bandwidth_MBps,4194304,3396.28
container,bandwidth,bandwidth_MBps,1,0.48
container,bandwidth,bandwidth_MBps,2,0.97
container,bandwidth,bandwidth_MBps,4,1.93
container,bandwidth,bandwidth_MBps,8,3.87
container,bandwidth,bandwidth_MBps,16,7.72
container,bandwidth,bandwidth_MBps,32,15.36
container,bandwidth,bandwidth_MBps,64,33.23
container,bandwidth,bandwidth_MBps,128,55.86
container,bandwidth,bandwidth_MBps,256,120.91
container,bandwidth,bandwidth_MBps,512,219.39
container,bandwidth,bandwidth_MBps,1024,398.25
container,bandwidth,bandwidth_MBps,2048,778.82
container,bandwidth,bandwidth_MBps,4096,1401.01
container,bandwidth,bandwidth_MBps,8192,2095.29
container,bandwidth,bandwidth_MBps,16384,2482.64
container,bandwidth,bandwidth_MBps,32768,2681.46
container,bandwidth,bandwidth_MBps,65536,3197.82
container,bandwidth,bandwidth_MBps,131072,3107.82
container,bandwidth,bandwidth_MBps,262144,4016.53
container,bandwidth,bandwidth_MBps,524288,4188.35
container,bandwidth,bandwidth_MBps,1048576,3638.07
container,bandwidth,bandwidth_MBps,2097152,3671.91
container,bandwidth,bandwidth_MBps,4194304,3583.01
