mode,benchmark,metric,bytes,value
native,bandwidth,bandwidth_MBps,4096,1266.60
native,bandwidth,bandwidth_MBps,8192,2044.25
native,bandwidth,bandwidth_MBps,16384,2466.93
native,bandwidth,bandwidth_MBps,32768,2676.75
native,bandwidth,bandwidth_MBps,65536,3035.86
native,bandwidth,bandwidth_MBps,131072,3319.71
native,bandwidth,bandwidth_MBps,262144,2854.62
native,bandwidth,bandwidth_MBps,524288,3326.77
native,bandwidth,bandwidth_MBps,1048576,3739.03
native,bandwidth,bandwidth_MBps,2097152,3856.04
native,bandwidth,bandwidth_MBps,4194304,3912.69
container,latency,latency_us,1,16.84
container,latency,latency_us,2,16.93
container,latency,latency_us,4,16.89
container,latency,latency_us,8,16.88
container,latency,latency_us,16,16.90
container,latency,latency_us,32,16.88
container,latency,latency_us,64,17.01
container,latency,latency_us,128,17.27
container,latency,latency_us,256,18.95
container,latency,latency_us,512,19.09
container,latency,latency_us,1024,19.34
container,latency,latency_us,2048,31.44
container,latency,latency_us,4096,31.80
container,latency,latency_us,8192,33.36
container,latency,latency_us,16384,39.57
container,latency,latency_us,32768,46.99
container,latency,latency_us,65536,75.20
container,latency,latency_us,131072,121.31
container,latency,latency_us,262144,163.88
container,latency,latency_us,524288,220.92
container,latency,latency_us,1048576,399.05
container,latency,latency_us,2097152,661.16
container,latency,latency_us,4194304,1242.70
container,latency,latency_us,1,15.80
container,latency,latency_us,2,15.79
container,latency,latency_us,4,15.78
container,latency,latency_us,8,15.80
container,latency,latency_us,16,15.83
container,latency,latency_us,32,15.80
container,latency,latency_us,64,15.96
container,latency,latency_us,128,16.19
container,latency,latency_us,256,17.92
container,latency,latency_us,512,18.02
container,latency,latency_us,1024,18.28
container,latency,latency_us,2048,30.49
container,latency,latency_us,4096,31.44
container,latency,latency_us,8192,32.58
container,latency,latency_us,16384,40.36
container,latency,latency_us,32768,47.14
container,latency,latency_us,65536,78.70
container,latency,latency_us,131072,100.16
container,latency,latency_us,262144,131.73
container,latency,latency_us,524288,212.42
container,latency,latency_us,1048576,365.52
container,latency,latency_us,2097152,660.48
container,latency,latency_us,4194304,1182.27
container,latency,latency_us,1,16.63
container,latency,latency_us,2,16.67
container,latency,latency_us,4,16.70
container,latency,latency_us,8,16.70
container,latency,latency_us,16,16.73
container,latency,latency_us,32,16.72
container,latency,latency_us,64,16.83
container,latency,latency_us,128,17.12
container,latency,latency_us,256,18.76
container,latency,latency_us,512,18.88
container,latency,latency_us,1024,19.11
container,latency,latency_us,2048,31.66
container,latency,latency_us,4096,32.17
container,latency,latency_us,8192,33.34
container,latency,latency_us,16384,41.17
container,latency,latency_us,32768,46.63
container,latency,latency_us,65536,70.72
container,latency,latency_us,131072,97.10
container,latency,latency_us,262144,120.17
container,latency,latency_us,524288,219.47
container,latency,latency_us,1048576,315.51
container,latency,latency_us,2097152,599.78
container,latency,latency_us,4194304,1143.56
container,latency,latency_us,1,15.76
container,latency,latency_us,2,15.75
container,latency,latency_us,4,15.90
container,latency,latency_us,8,15.75
container,latency,latency_us,16,15.79
container,latency,latency_us,32,15.77
container,latency,latency_us,64,15.94
container,latency,latency_us,128,16.17
container,latency,latency_us,256,17.87
container,latency,latency_us,512,18.09
container,latency,latency_us,1024,18.27
container,latency,latency_us,2048,30.39
container,latency,latency_us,4096,31.74
container,latency,latency_us,8192,32.64
container,latency,latency_us,16384,37.94
container,latency,latency_us,32768,45.87
container,latency,latency_us,65536,77.28
container,latency,latency_us,131072,101.27
container,latency,latency_us,262144,130.91
container,latency,latency_us,524288,219.09
container,latency,latency_us,1048576,371.83
container,latency,latency_us,2097152,652.44
container,latency,latency_us,4194304,1169.89
container,latency,latency_us,1,16.47
container,latency,latency_us,2,16.44
container,latency,latency_us,4,16.51
container,latency,latency_us,8,16.47
container,latency,latency_us,16,16.55
container,latency,latency_us,32,16.55
container,latency,latency_us,64,16.65
container,latency,latency_us,128,16.97
container,latency,latency_us,256,18.63
container,latency,latency_us,512,18.73
container,latency,latency_us,1024,19.05
container,latency,latency_us,2048,31.55
container,latency,latency_us,4096,31.74
container,latency,latency_us,8192,33.20
container,latency,latency_us,16384,39.58
container,latency,latency_us,32768,48.81
container,latency,latency_us,65536,78.49
container,latency,latency_us,131072,106.32
container,latency,latency_us,262144,146.34
container,latency,latency_us,524288,210.99
container,latency,latency_us,1048576,350.19
container,latency,latency_us,2097152,625.47
container,latency,latency_us,4194304,1241.87
container,bandwidth,bandwidth_MBps,1,0.45
container,bandwidth,bandwidth_MBps,2,0.94
container,bandwidth,bandwidth_MBps,4,1.86
container,bandwidth,bandwidth_MBps,8,3.69
container,bandwidth,bandwidth_MBps,16,7.47
container,bandwidth,bandwidth_MBps,32,14.77
container,bandwidth,bandwidth_MBps,64,29.72
container,bandwidth,bandwidth_MBps,128,52.86
container,bandwidth,bandwidth_MBps,256,101.83
container,bandwidth,bandwidth_MBps,512,208.50
container,bandwidth,bandwidth_MBps,1024,386.18
container,bandwidth,bandwidth_MBps,2048,731.77
container,bandwidth,bandwidth_MBps,4096,1255.55
container,bandwidth,bandwidth_MBps,8192,2049.42
container,bandwidth,bandwidth_MBps,16384,2490.75
container,bandwidth,bandwidth_MBps,32768,2695.68
container,bandwidth,bandwidth_MBps,65536,3035.77
container,bandwidth,bandwidth_MBps,131072,2797.85
container,bandwidth,bandwidth_MBps,262144,3896.58
container,bandwidth,bandwidth_MBps,524288,4129.28
container,bandwidth,bandwidth_MBps,1048576,3550.77
container,bandwidth,bandwidth_MBps,2097152,3530.50
container,bandwidth,bandwidth_MBps,4194304,3652.44
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.92
container,bandwidth,bandwidth_MBps,4,1.84
container,bandwidth,bandwidth_MBps,8,3.72
container,bandwidth,bandwidth_MBps,16,7.46
container,bandwidth,bandwidth_MBps,32,14.91
container,bandwidth,bandwidth_MBps,64,29.25
container,bandwidth,bandwidth_MBps,128,53.90
container,bandwidth,bandwidth_MBps,256,102.67
container,bandwidth,bandwidth_MBps,512,210.76
container,bandwidth,bandwidth_MBps,1024,383.55
container,bandwidth,bandwidth_MBps,2048,747.34
container,bandwidth,bandwidth_MBps,4096,1324.98
container,bandwidth,bandwidth_MBps,8192,2063.75
container,bandwidth,bandwidth_MBps,16384,2477.22
container,bandwidth,bandwidth_MBps,32768,2679.18
container,bandwidth,bandwidth_MBps,65536,2976.45
container,bandwidth,bandwidth_MBps,131072,2683.01
container,bandwidth,bandwidth_MBps,262144,2644.08
container,bandwidth,bandwidth_MBps,524288,3270.51
container,bandwidth,bandwidth_MBps,1048576,3829.03
container,bandwidth,bandwidth_MBps,2097152,3397.67
container,bandwidth,bandwidth_MBps,4194304,3462.00
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.93
container,bandwidth,bandwidth_MBps,4,1.86
container,bandwidth,bandwidth_MBps,8,3.70
container,bandwidth,bandwidth_MBps,16,7.47
container,bandwidth,bandwidth_MBps,32,14.98
container,bandwidth,bandwidth_MBps,64,29.75
container,bandwidth,bandwidth_MBps,128,52.71
container,bandwidth,bandwidth_MBps,256,102.59
container,bandwidth,bandwidth_MBps,512,208.84
container,bandwidth,bandwidth_MBps,1024,384.37
container,bandwidth,bandwidth_MBps,2048,712.04
container,bandwidth,bandwidth_MBps,4096,1307.58
container,bandwidth,bandwidth_MBps,8192,2052.57
container,bandwidth,bandwidth_MBps,16384,2468.32
container,bandwidth,bandwidth_MBps,32768,2677.02
container,bandwidth,bandwidth_MBps,65536,3008.07
container,bandwidth,bandwidth_MBps,131072,3189.67
container,bandwidth,bandwidth_MBps,262144,2709.47
container,bandwidth,bandwidth_MBps,524288,3722.72
container,bandwidth,bandwidth_MBps,1048576,3791.45
container,bandwidth,bandwidth_MBps,2097152,3580.24
container,bandwidth,bandwidth_MBps,4194304,3551.09
container,bandwidth,bandwidth_MBps,1,0.45
container,bandwidth,bandwidth_MBps,2,0.92
container,bandwidth,bandwidth_MBps,4,1.84
container,bandwidth,bandwidth_MBps,8,3.74
container,bandwidth,bandwidth_MBps,16,7.31
container,bandwidth,bandwidth_MBps,32,14.69
container,bandwidth,bandwidth_MBps,64,29.88
container,bandwidth,bandwidth_MBps,128,53.10
container,bandwidth,bandwidth_MBps,256,103.19
container,bandwidth,bandwidth_MBps,512,207.03
container,bandwidth,bandwidth_MBps,1024,381.51
container,bandwidth,bandwidth_MBps,2048,724.24
container,bandwidth,bandwidth_MBps,4096,1253.92
container,bandwidth,bandwidth_MBps,8192,2061.72
container,bandwidth,bandwidth_MBps,16384,2484.92
container,bandwidth,bandwidth_MBps,32768,2680.36
container,bandwidth,bandwidth_MBps,65536,2936.96
container,bandwidth,bandwidth_MBps,131072,3227.54
container,bandwidth,bandwidth_MBps,262144,2908.77
container,bandwidth,bandwidth_MBps,524288,4123.80
container,bandwidth,bandwidth_MBps,1048576,3460.72
container,bandwidth,bandwidth_MBps,2097152,3669.70
container,bandwidth,bandwidth_MBps,4194304,3784.46
container,bandwidth,bandwidth_MBps,1,0.46
container,bandwidth,bandwidth_MBps,2,0.93
container,bandwidth,bandwidth_MBps,4,1.84
container,bandwidth,bandwidth_MBps,8,3.65
container,bandwidth,bandwidth_MBps,16,7.38
container,bandwidth,bandwidth_MBps,32,14.89
container,bandwidth,bandwidth_MBps,64,29.30
container,bandwidth,bandwidth_MBps,128,53.93
container,bandwidth,bandwidth_MBps,256,103.25
container,bandwidth,bandwidth_MBps,512,208.80
container,bandwidth,bandwidth_MBps,1024,383.59
container,bandwidth,bandwidth_MBps,2048,739.17
container,bandwidth,bandwidth_MBps,4096,1305.55
container,bandwidth,bandwidth_MBps,8192,2074.39
container,bandwidth,bandwidth_MBps,16384,2485.02
container,bandwidth,bandwidth_MBps,32768,2675.18
container,bandwidth,bandwidth_MBps,65536,3194.21
container,bandwidth,bandwidth_MBps,131072,3049.66
container,bandwidth,bandwidth_MBps,262144,3929.35
container,bandwidth,bandwidth_MBps,524288,3586.46
container,bandwidth,bandwidth_MBps,1048576,3443.91
container,bandwidth,bandwidth_MBps,2097152,3455.14
container,bandwidth,bandwidth_MBps,4194304,3859.08
