mode,benchmark,metric,bytes,value
native,bandwidth,bandwidth_MBps,1024,3747.85
native,bandwidth,bandwidth_MBps,2048,5708.13
native,bandwidth,bandwidth_MBps,4096,8283.54
native,bandwidth,bandwidth_MBps,8192,11828.78
native,bandwidth,bandwidth_MBps,16384,20788.72
native,bandwidth,bandwidth_MBps,32768,22833.09
native,bandwidth,bandwidth_MBps,65536,23605.28
native,bandwidth,bandwidth_MBps,131072,24241.06
native,bandwidth,bandwidth_MBps,262144,24506.58
native,bandwidth,bandwidth_MBps,524288,24647.79
native,bandwidth,bandwidth_MBps,1048576,24712.77
native,bandwidth,bandwidth_MBps,2097152,24744.66
native,bandwidth,bandwidth_MBps,4194304,24761.97
native,bandwidth,bandwidth_MBps,1,4.89
native,bandwidth,bandwidth_MBps,2,9.72
native,bandwidth,bandwidth_MBps,4,18.65
native,bandwidth,bandwidth_MBps,8,38.81
native,bandwidth,bandwidth_MBps,16,78.63
native,bandwidth,bandwidth_MBps,32,147.01
native,bandwidth,bandwidth_MBps,64,305.92
native,bandwidth,bandwidth_MBps,128,605.30
native,bandwidth,bandwidth_MBps,256,1040.54
native,bandwidth,bandwidth_MBps,512,2090.38
native,bandwidth,bandwidth_MBps,1024,3780.04
native,bandwidth,bandwidth_MBps,2048,5752.82
native,bandwidth,bandwidth_MBps,4096,8297.31
native,bandwidth,bandwidth_MBps,8192,12021.89
native,bandwidth,bandwidth_MBps,16384,20762.40
native,bandwidth,bandwidth_MBps,32768,22782.35
native,bandwidth,bandwidth_MBps,65536,23607.64
native,bandwidth,bandwidth_MBps,131072,24143.94
native,bandwidth,bandwidth_MBps,262144,24502.82
native,bandwidth,bandwidth_MBps,524288,24646.02
native,bandwidth,bandwidth_MBps,1048576,24712.29
native,bandwidth,bandwidth_MBps,2097152,24745.96
native,bandwidth,bandwidth_MBps,4194304,24762.61
container,latency,latency_us,1,15.73
container,latency,latency_us,2,15.78
container,latency,latency_us,4,15.83
container,latency,latency_us,8,15.85
container,latency,latency_us,16,15.89
container,latency,latency_us,32,15.80
container,latency,latency_us,64,15.92
container,latency,latency_us,128,16.19
container,latency,latency_us,256,17.93
container,latency,latency_us,512,18.06
container,latency,latency_us,1024,18.29
container,latency,latency_us,2048,30.21
container,latency,latency_us,4096,31.05
container,latency,latency_us,8192,32.55
container,latency,latency_us,16384,39.83
container,latency,latency_us,32768,48.06
container,latency,latency_us,65536,81.87
container,latency,latency_us,131072,108.54
container,latency,latency_us,262144,132.67
container,latency,latency_us,524288,221.48
container,latency,latency_us,1048576,385.67
container,latency,latency_us,2097152,636.93
container,latency,latency_us,4194304,1243.54
container,latency,latency_us,1,15.87
container,latency,latency_us,2,15.81
container,latency,latency_us,4,15.85
container,latency,latency_us,8,15.87
container,latency,latency_us,16,15.89
container,latency,latency_us,32,15.86
container,latency,latency_us,64,15.99
container,latency,latency_us,128,16.19
container,latency,latency_us,256,17.93
container,latency,latency_us,512,18.07
container,latency,latency_us,1024,18.33
container,latency,latency_us,2048,30.67
container,latency,latency_us,4096,31.28
container,latency,latency_us,8192,32.50
container,latency,latency_us,16384,40.12
container,latency,latency_us,32768,45.59
container,latency,latency_us,65536,78.10
container,latency,latency_us,131072,102.75
container,latency,latency_us,262144,149.16
container,latency,latency_us,524288,223.80
container,latency,latency_us,1048576,377.60
container,latency,latency_us,2097152,644.60
container,latency,latency_us,4194304,1189.90
container,latency,latency_us,1,15.71
container,latency,latency_us,2,15.78
container,latency,latency_us,4,15.77
container,latency,latency_us,8,15.83
container,latency,latency_us,16,15.75
container,latency,latency_us,32,15.78
container,latency,latency_us,64,15.95
container,latency,latency_us,128,16.17
container,latency,latency_us,256,17.87
container,latency,latency_us,512,18.01
container,latency,latency_us,1024,18.18
container,latency,latency_us,2048,30.41
container,latency,latency_us,4096,31.08
container,latency,latency_us,8192,32.45
