Final Orfeo run
RUN_DIR=/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715
Generated at: Sat Sep 12 08:17:44 CEST 2026

Jobs:
00_build_vec	1625040	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/00_build_vec
01_probe	1625041	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/01_probe
02_scaling	1625042	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/02_scaling
03_hybrid	1625043	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/03_hybrid
04_ablation	1625044	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/04_ablation
05_evidence	1625045	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/05_evidence
06_memory	1625046	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/06_memory
07_arch	1625047	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/07_arch
08_container	1625048	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/08_container
09_osu	1625049	/u/dssc/emmadariol/HPC_exam/Nbody_serial/runs/orfeo_clean_20260911_201715/09_osu

Slurm status:
JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
1625043.8    nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625043.9    nbody_dir+  COMPLETED      0:0   00:00:27         64        genoa003 
1625043.10   nbody_dir+  COMPLETED      0:0   00:00:29         64        genoa003 
1625043.11   nbody_dir+  COMPLETED      0:0   00:00:29         64        genoa003 
1625043.12   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.13   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.14   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.15   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.16   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.17   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.18   nbody_dir+  COMPLETED      0:0   00:00:07         64        genoa003 
1625043.19   nbody_dir+  COMPLETED      0:0   00:00:08         64        genoa003 
1625043.20   nbody_dir+  COMPLETED      0:0   00:00:08         64        genoa003 
1625043.21   nbody_dir+  COMPLETED      0:0   00:00:08         64        genoa003 
1625043.22   nbody_dir+  COMPLETED      0:0   00:00:07         64        genoa003 
1625043.23   nbody_dir+  COMPLETED      0:0   00:00:08         64        genoa003 
1625043.24   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.25   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.26   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.27   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.28   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.29   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.30   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.31   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.32   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.33   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.34   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.35   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625043.36   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.37   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.38   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.39   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.40   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.41   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.42   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.43   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.44   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.45   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.46   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.47   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.48   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.49   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.50   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.51   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.52   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.53   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.54   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.55   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.56   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.57   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.58   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.59   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.60   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.61   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.62   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.63   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.64   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.65   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625043.66   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.67   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.68   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.69   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.70   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.71   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.72   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.73   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.74   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.75   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.76   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.77   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.78   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.79   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.80   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.81   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 
1625043.82   nbody_dir+  COMPLETED      0:0   00:00:00         64        genoa003 
1625043.83   nbody_dir+  COMPLETED      0:0   00:00:01         64        genoa003 

JobID           JobName      State ExitCode    Elapsed  AllocCPUS        NodeList 
------------ ---------- ---------- -------- ---------- ---------- --------------- 
1625044      ablation_+  COMPLETED      0:0   00:07:13         64        genoa003 
1625044.bat+      batch  COMPLETED      0:0   00:07:13         64        genoa003 
1625044.ext+     extern  COMPLETED      0:0   00:07:13         64        genoa003 
1625044.0    nbody_dir+  COMPLETED      0:0   00:00:38          1        genoa003 
1625044.1    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625044.2    nbody_dir+  COMPLETED      0:0   00:00:38          1        genoa003 
1625044.3    nbody_dir+  COMPLETED      0:0   00:00:39          1        genoa003 
1625044.4    nbody_dir+  COMPLETED      0:0   00:00:38          1        genoa003 
1625044.5    nbody_dir+  COMPLETED      0:0   00:00:25          1        genoa003 
1625044.6    nbody_dir+  COMPLETED      0:0   00:00:24          1        genoa003 
1625044.7    nbody_dir+  COMPLETED      0:0   00:00:24          1        genoa003 
1625044.8    nbody_dir+  COMPLETED      0:0   00:00:25          1        genoa003 
1625044.9    nbody_dir+  COMPLETED      0:0   00:00:24          1        genoa003 
1625044.10   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.11   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.12   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.13   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.14   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.15   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.16   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625044.17   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.18   nbody_dir+  COMPLETED      0:0   00:00:02         64        genoa003 
1625044.19   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.20   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.21   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.22   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.23   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.24   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.25   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.26   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.27   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.28   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.29   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.30   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
1625044.31   nbody_dir+  COMPLETED      0:0   00:00:03         64        genoa003 
